Magnitude,Location,Latitude,Longitude
0.1,"33 km ENE of Beatty, Nevada",37.048,-116.4244
0.76,"2 km E of Colton, CA",34.0755,-117.2911667
1.7,"18 km W of Searles Valley, CA",35.7825,-117.6011667
0.91,"9 km SW of Salton City, CA",33.2436667,-116.0321667
0.92,"6 km N of Beaumont, CA",33.9835,-116.9713333
0.62,"9 km S of Idyllwild, CA",33.6616667,-116.7056667
2.15,"16 km NNE of Barstow, CA",35.0386667,-116.981
1.9,"55 km S of Whites City, New Mexico",31.673,-104.377
3.1,"55 km S of Whites City, New Mexico",31.677,-104.377
1.35,"27 km WNW of Ludlow, CA",34.7913333,-116.4446667
2.2,"56 km S of Whites City, New Mexico",31.666,-104.376
0.78,"7 km NW of The Geysers, CA",38.81,-122.82
1.84,"8 km N of Anza, CA",33.6311684,-116.6786652
0.48,"6 km NNW of The Geysers, CA",38.82,-122.8
1.7,"32 km NNW of Toyah, Texas",31.587,-103.933
1.2,"25 km W of Susitna, Alaska",61.521,-150.9866
1.9,"47 km SSW of Denali National Park, Alaska",63.1749,-152.2217
0.9,"35 km SE of Minto, Alaska",64.902,-148.894
1.7,"77 km WNW of Aleneva, Alaska",58.2616,-154.1681
0.76,"2 km SE of Colton, CA",34.0638333,-117.3031667
0.3,"35 km ENE of Beatty, Nevada",37.014,-116.3871
1.35,"24 km NW of Grapevine, CA",35.1041667,-119.1013333
2.2,"6 km SSW of Ivanof Bay, Alaska",55.8485,-159.5417
4.7,"Pagan region, Northern Mariana Islands",18.9526,145.492
2.0,"32 km SE of Mina, Nevada",38.1567,-117.884
1.21,"3 km ENE of The Geysers, CA",38.79,-122.73
1.81,"9 km SSE of Volcano, Hawaii",19.371166229248,-155.184005737305
1.54,"23 km SW of Ocotillo Wells, CA",32.9751667,-116.2793333
2.03999996,"10 km NE of Pāhala, Hawaii",19.2601661682129,-155.401504516602
0.7,"7 km NNW of The Geysers, CA",38.83,-122.81
1.1,"4 km WNW of Cobb, CA",38.83,-122.77
0.22,"5 km ESE of Palomar Observatory, CA",33.3393333,-116.812
1.16,"12 km SE of Olancha, CA",36.2016667,-117.907
0.0,"33 km ENE of Beatty, Nevada",37.0485,-116.4237
1.42,"15 km SSW of Searles Valley, CA",35.6363333,-117.4563333
2.45,"4 km NW of Orocovis, Puerto Rico",18.2551666666667,-66.4198333333333
1.62,"19 km NNW of Parkfield, CA",36.02,-120.58
1.5,"30 km SSE of Skwentna, Alaska",61.7355,-151.1637
2.0,"56 km S of Whites City, New Mexico",31.663,-104.364
1.6,"58 km N of Petersville, Alaska",63.0149,-150.6555
0.76,"9 km NW of The Geysers, CA",38.82,-122.84
1.68,"17 km E of Hidden Valley Lake, CA",38.83,-122.36
0.65,"8 km N of Anza, CA",33.6248333,-116.6791667
1.6,"36 km NE of Whittier, Alaska",61.044,-148.2966
1.1,"7 km WNW of Cobb, CA",38.84,-122.81
1.6,"55 km S of Whites City, New Mexico",31.677,-104.432
1.6,"11 km SW of Cotati, CA",38.25,-122.78
1.79,"22 km SSW of La Quinta, CA",33.4875,-116.4128333
1.86000001,"6 km SSW of Volcano, Hawaii",19.3841667175293,-155.248001098633
1.77,"5 km NE of Coso Junction, CA",36.077,-117.9046667
2.5,"7 km SSW of Volcano, Hawaii",19.3806,-155.2587
1.6,"58 km S of Whites City, New Mexico",31.653,-104.462
1.05,"16 km SSW of Searles Valley, CA",35.6413333,-117.4766667
1.2,"35 km N of Silver Peak, Nevada",38.0743,-117.7037
5.4,South Sandwich Islands region,-56.172,-27.9409
1.55,"4 km NW of Boron, CA",35.0278333,-117.6793333
2.75,"92 km SSW of Alberto Oviedo Mota, B.C., MX",31.4916667,-115.6181667
0.29,"7 km NW of The Geysers, CA",38.81,-122.83
0.65,"9 km WNW of Cobb, CA",38.85,-122.82
2.09,"20 km E of Coso Junction, CA",36.044,-117.7216667
1.82000005,"6 km S of Volcano, Hawaii",19.3863334655762,-155.245666503906
0.88,"15 km NE of Little Lake, CA",36.0255,-117.7758333
2.02999997,"3 km SE of Pāhala, Hawaii",19.1760005950928,-155.457000732422
0.74,"3 km WNW of The Geysers, CA",38.78,-122.79
0.9,"78 km ENE of Port Alsworth, Alaska",60.3644,-152.9418
3.38,"6 km S of Volcano, Hawaii",19.389,-155.244333333333
1.08,"5 km NW of The Geysers, CA",38.79,-122.81
1.90999997,"6 km S of Volcano, Hawaii",19.3854999542236,-155.238662719727
1.96,"9 km SSE of Volcano, Hawaii",19.3721675872803,-155.186004638672
4.1,"35 km SW of Taltal, Chile",-25.6751,-70.6842
1.4,"53 km NE of Chase, Alaska",62.803,-149.3939
2.3,"61 km S of Whites City, New Mexico",31.631,-104.475
1.06,"6 km SSW of Idyllwild, CA",33.6911667,-116.7431667
4.6,"60 km E of Macas, Ecuador",-2.4142,-77.5735
1.79999995,"6 km SSW of Volcano, Hawaii",19.3898334503174,-155.261001586914
1.70000005,"5 km S of Volcano, Hawaii",19.3911666870117,-155.244171142578
1.4,"134 km SE of McCarthy, Alaska",60.4468,-141.5
1.03,"10 km SW of Salton City, CA",33.2388333,-116.0403333
1.1,"8 km NNW of The Geysers, CA",38.83,-122.82
4.0,"43 km SSE of Khorugh, Tajikistan",37.1355,71.7757
1.13,"23 km NNW of Tehachapi, CA",35.3216667,-118.5621667
1.04,"6 km W of Mead Valley, CA",33.831665,-117.3556671
1.74,"3 km SE of Loma Linda, CA",34.0295,-117.236
1.5,"15 km WSW of Point Possession, Alaska",60.8495,-150.9374
1.92,"14 km S of Newport Beach, CA",33.4881667,-117.9263333
0.88,"23 km ESE of Anza, CA",33.471,-116.4521667
4.4,"136 km E of Wainui, New Zealand",-38.8333,179.6339
0.25,"5 km SSE of Idyllwild, CA",33.699,-116.7053333
1.84,"7 km SSW of Volcano, Hawaii",19.3776664733887,-155.251663208008
2.82,"3 km WNW of Mayagüez, Puerto Rico",18.2136666666667,-67.1691666666667
1.2,"12 km NE of Ocotillo Wells, CA",33.2228333,-116.0465
1.9,"16 km N of Huslia, Alaska",65.8487,-156.3854
1.4,"38 km W of Susitna, Alaska",61.4861,-151.2294
1.25,"9 km E of San Martin, CA",37.12,-121.51
0.99,"6 km NNW of The Geysers, CA",38.82,-122.79
1.01,"6 km N of Beaumont, CA",33.9835,-116.973
1.92,"6 km N of Beaumont, CA",33.9796667,-116.9725
0.93,"3 km NW of The Geysers, CA",38.79,-122.78
0.37,"15 km S of Valle Vista, CA",33.6138333,-116.8628333
2.27999997,"4 km SSW of Pāhala, Hawaii",19.1696662902832,-155.496337890625
0.8,"28 km E of Skwentna, Alaska",61.9526,-150.8569
4.7,"129 km SW of Labuan, Indonesia",-7.2994,105.1031
1.05,"6 km N of Beaumont, CA",33.9813333,-116.9688333
3.2,"23 km WNW of Stanley, Idaho",44.3278,-115.188
0.8,"53 km ESE of Knik River, Alaska",61.1972,-148.08
2.69,"5 km SSW of Volcano, Hawaii",19.3928337097168,-155.250335693359
1.80999994,"5 km SSW of Volcano, Hawaii",19.3920001983643,-155.251159667969
